Age,Attrition,DistanceFromHome,EnvironmentSatisfaction,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,OverTime,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
57,No,3,4,2,Laboratory Technician,2,2672,Yes,2,2,0,1,0
32,No,8,2,4,Sales Executive,5,6927,No,3,10,5,6,8
32,No,26,3,0,Research Scientist,3,2029,No,5,4,6,0,0
33,No,3,2,1,Research Scientist,1,5000,Yes,2,9,8,1,5
34,No,2,5,3,Manufacturing Director,0,10276,No,4,7,7,4,4
43,No,8,3,3,Laboratory Technician,3,3675,No,3,12,8,5,10
34,No,6,2,0,Sales Executive,4,6799,No,1,10,9,2,9
38,No,6,2,5,Research Director,3,11713,No,1,9,9,0,5
32,No,5,3,2,Research Scientist,1,3064,Yes,5,6,4,0,5
36,No,2,3,0,Research Scientist,4,3282,No,5,2,1,0,2
40,No,4,4,4,Sales Executive,5,5249,No,4,10,8,7,5
51,No,2,5,2,Sales Executive,4,6348,No,3,17,7,0,12
43,Yes,1,2,1,Human Resources,3,10480,No,2,21,7,1,8
49,No,3,3,1,Healthcare Representative,0,7483,No,4,13,10,13,9
35,No,27,3,0,Research Scientist,2,2029,No,4,4,5,0,0
35,No,20,5,2,Sales Executive,5,5339,No,3,11,7,5,9
28,No,5,0,3,Sales Executive,1,5561,No,3,8,0,3,1
36,No,0,2,1,Manufacturing Director,4,7859,Yes,5,3,0,0,0
57,No,2,2,5,Manager,3,16755,No,2,8,9,4,0
29,Yes,22,1,2,Sales Representative,2,1091,No,3,1,2,0,0
22,No,5,6,1,Sales Executive,4,4162,Yes,2,5,5,1,3
40,No,1,1,1,Sales Representative,4,5404,Yes,1,3,3,2,4
54,Yes,6,4,1,Research Scientist,1,4942,No,3,10,4,6,8
45,No,4,4,1,Research Scientist,2,2275,No,5,0,1,0,1
53,No,24,1,3,Manager,3,17426,No,4,11,8,4,8
28,No,0,2,1,Research Scientist,6,3762,No,5,2,1,1,1
34,No,6,4,0,Sales Executive,5,7103,No,1,5,0,3,4
43,No,3,4,6,Manager,0,19189,No,1,23,10,13,12
38,No,4,2,3,Research Scientist,1,3059,Yes,0,0,2,0,0
24,No,3,3,1,Sales Executive,3,4292,No,4,7,6,2,6
22,No,8,2,2,Laboratory Technician,0,2453,No,0,5,1,0,2
50,No,26,0,5,Manager,1,16305,No,1,18,6,5,18
26,No,10,5,1,Laboratory Technician,2,2693,No,5,0,2,1,0
29,No,1,3,1,Sales Executive,4,4777,Yes,2,7,7,6,7
46,No,1,4,5,Healthcare Representative,0,10673,Yes,2,8,11,9,4
38,No,0,3,3,Manufacturing Director,2,6552,No,5,1,0,2,0
57,No,10,6,3,Sales Executive,5,13871,No,2,36,9,2,8
39,No,3,4,0,Research Scientist,1,3055,Yes,0,1,0,1,0
40,Yes,11,2,3,Laboratory Technician,0,2020,No,0,6,6,0,1
43,No,9,4,4,Research Scientist,0,9725,No,2,0,2,0,0
32,No,1,4,4,Manufacturing Director,4,9548,No,2,12,11,0,11
40,No,1,3,3,Healthcare Representative,1,4242,No,4,8,7,4,8
23,No,22,3,0,Research Scientist,5,2726,Yes,5,4,4,3,5
45,No,13,1,3,Sales Executive,1,4592,Yes,2,5,5,1,2
25,Yes,10,2,4,Sales Executive,0,5324,No,4,5,5,1,3
44,No,0,4,2,Manager,0,17667,No,1,22,6,15,6
34,No,7,6,3,Healthcare Representative,1,6386,Yes,3,0,1,0,2
29,Yes,7,4,3,Sales Executive,1,6174,Yes,1,8,5,8,7
40,No,8,2,2,Sales Executive,2,8742,Yes,5,9,6,3,8
30,Yes,0,3,3,Research Scientist,4,2215,Yes,5,5,8,5,6
34,No,1,5,1,Laboratory Technician,3,1281,No,3,2,0,0,0
27,No,18,6,1,Laboratory Technician,2,4064,No,5,5,9,0,7
42,No,6,1,3,Manager,0,19831,No,3,22,10,13,9
41,Yes,6,2,0,Research Scientist,3,2107,No,1,2,2,0,2
41,No,3,6,3,Laboratory Technician,6,6472,Yes,2,11,9,4,6
37,No,3,2,2,Manufacturing Director,2,6445,No,0,8,7,2,1
51,No,2,6,4,Manager,5,19518,No,3,5,1,2,4
32,No,3,2,2,Laboratory Technician,4,2566,No,1,13,7,8,5
36,Yes,21,4,1,Manufacturing Director,2,5915,Yes,4,0,1,0,3
31,Yes,15,1,0,Laboratory Technician,6,2437,Yes,0,3,4,0,2
35,No,28,5,2,Sales Executive,1,6712,No,1,10,8,1,5
29,No,13,3,0,Research Scientist,3,2356,Yes,5,8,4,2,1
23,Yes,2,2,1,Research Scientist,2,2292,Yes,4,0,0,4,2
30,No,10,5,3,Sales Executive,3,4670,No,3,8,7,0,9
33,Yes,22,1,2,Healthcare Representative,5,9824,No,2,3,2,1,1
38,No,19,4,1,Research Scientist,2,3566,Yes,2,9,7,0,7
23,No,3,1,0,Sales Executive,5,5001,No,3,3,2,0,3
41,No,26,2,6,Sales Executive,6,12029,No,2,21,10,11,4
36,No,0,2,4,Manufacturing Director,3,7861,Yes,6,0,2,2,0
37,No,4,4,2,Research Scientist,5,2819,No,3,1,4,2,0
30,No,22,2,1,Sales Representative,4,2159,No,2,3,1,0,3
45,No,16,3,4,Research Director,2,17158,No,4,6,0,0,0
26,No,1,1,3,Manufacturing Director,4,4225,No,5,2,0,2,4
30,No,6,1,0,Laboratory Technician,3,2531,No,4,4,3,0,4
29,Yes,31,3,0,Laboratory Technician,3,3480,No,5,7,2,3,5
41,No,17,2,1,Research Scientist,3,5408,Yes,4,2,5,1,0
36,No,28,5,1,Manufacturing Director,6,6261,No,2,8,8,2,6
50,No,12,5,6,Manager,3,19928,No,5,7,4,5,4
35,Yes,13,3,4,Sales Executive,0,6133,Yes,1,1,2,1,4
36,No,8,0,2,Research Director,5,13204,No,1,16,18,3,12
20,No,13,4,0,Research Scientist,6,1232,No,3,1,2,2,0
40,No,9,0,3,Manager,4,18431,No,3,23,9,13,10
34,No,4,4,1,Sales Representative,3,4501,No,2,14,9,7,5
37,No,7,2,2,Laboratory Technician,5,3039,No,5,1,1,0,1
26,Yes,2,3,0,Research Scientist,3,3466,Yes,4,3,1,4,4
32,No,7,2,0,Laboratory Technician,6,3987,No,3,14,12,5,12
33,No,3,1,0,Laboratory Technician,4,2333,No,3,3,2,0,2
26,No,1,3,0,Research Scientist,2,3423,No,3,2,4,2,3
38,No,28,3,1,Sales Executive,1,8395,No,1,9,9,5,4
26,No,4,4,3,Research Scientist,0,2228,No,0,4,4,3,3
36,No,0,2,3,Laboratory Technician,1,2258,No,3,7,0,3,8
43,No,3,0,4,Manager,2,16790,No,4,18,10,12,7
36,No,0,0,0,Research Scientist,2,5482,No,4,4,1,4,3
44,No,10,2,3,Laboratory Technician,4,2457,No,2,9,7,0,9
33,No,4,4,3,Research Scientist,2,4996,Yes,4,8,8,0,9
26,No,23,4,3,Laboratory Technician,0,2298,No,4,1,3,0,1
39,No,2,0,3,Research Director,1,19435,No,3,23,5,1,8
33,No,8,3,0,Sales Executive,2,6502,No,5,4,0,1,0
35,No,3,3,0,Research Scientist,3,2194,No,3,5,1,3,3
49,No,27,1,5,Manager,1,12505,No,0,0,0,0,1
38,No,3,3,6,Research Director,4,19437,No,2,19,7,4,8
30,No,8,2,3,Laboratory Technician,5,2974,No,1,4,1,3,0
43,No,8,5,3,Manufacturing Director,3,5005,No,5,1,4,0,1
51,No,20,5,3,Research Director,4,14412,Yes,3,34,8,11,11
16,No,5,2,0,Research Scientist,6,1051,No,4,1,2,0,0
50,Yes,9,2,0,Research Scientist,3,4940,No,1,6,1,5,6
28,No,21,2,0,Laboratory Technician,3,3810,No,3,9,6,5,9
26,No,6,5,2,Research Scientist,1,2477,Yes,1,4,4,0,0
57,No,4,1,5,Manager,2,18845,No,1,3,3,2,4
38,No,8,0,1,Research Scientist,6,2327,Yes,2,4,0,0,4
29,No,2,1,4,Manufacturing Director,0,4297,No,3,1,0,3,0
31,No,4,1,0,Laboratory Technician,4,2370,No,4,9,0,2,6
38,No,12,3,2,Laboratory Technician,2,2213,Yes,4,9,9,2,8
61,No,27,2,5,Sales Executive,1,10264,No,3,20,11,13,13
31,Yes,4,4,3,Sales Representative,1,2851,Yes,2,0,1,0,0
53,No,8,5,0,Laboratory Technician,1,3782,No,1,2,2,0,2
42,No,9,0,2,Healthcare Representative,5,10247,No,5,20,4,6,15
53,No,4,1,2,Laboratory Technician,5,3213,No,0,0,4,0,3
58,No,11,2,2,Sales Executive,0,5379,No,3,0,2,0,1
32,No,9,3,3,Sales Executive,2,6390,No,1,1,2,2,2
43,No,9,0,4,Healthcare Representative,2,7509,No,5,9,7,0,9
42,No,2,6,0,Manufacturing Director,5,6062,Yes,1,5,4,2,0
32,No,26,2,4,Sales Executive,4,4734,Yes,2,4,0,4,1
30,Yes,12,0,0,Human Resources,3,2336,Yes,5,2,1,4,1
32,No,29,2,3,Research Scientist,5,5776,No,3,8,6,0,7
36,No,11,4,3,Research Scientist,6,2326,Yes,0,6,1,0,1
35,No,8,1,0,Research Scientist,4,4504,No,5,2,0,0,0
38,No,3,5,2,Sales Representative,3,4500,No,3,13,7,7,5
48,Yes,4,0,1,Sales Representative,5,2684,Yes,3,3,0,0,4
41,No,24,5,3,Sales Executive,3,7081,Yes,2,3,0,1,4
39,No,7,1,5,Sales Executive,0,8834,No,4,11,7,9,6
39,Yes,1,0,0,Laboratory Technician,3,3645,Yes,5,0,2,2,0
49,No,10,5,5,Sales Executive,0,13119,No,4,11,8,1,3
46,No,8,2,0,Research Scientist,2,2654,No,3,2,1,0,4
41,Yes,1,2,3,Laboratory Technician,4,2777,Yes,1,9,8,1,0
35,No,3,0,3,Research Scientist,2,2194,No,4,1,3,0,0
29,Yes,3,2,2,Laboratory Technician,1,2563,No,4,0,0,0,1
35,Yes,1,2,3,Laboratory Technician,4,2089,Yes,1,0,0,0,1
31,No,5,3,1,Sales Executive,6,9419,No,3,10,8,6,5
31,No,29,2,0,Research Scientist,4,2513,No,5,5,3,0,7
42,No,4,5,2,Sales Executive,3,10473,Yes,2,16,13,0,11
28,No,10,1,0,Laboratory Technician,4,4621,No,2,5,4,1,0
57,Yes,2,5,4,Manager,1,19860,Yes,4,7,3,3,4
31,No,10,3,0,Manufacturing Director,4,4423,No,1,12,7,0,6
30,No,11,2,0,Sales Executive,5,6577,No,2,12,4,0,2
40,No,7,4,4,Laboratory Technician,1,6783,No,0,7,6,0,3
43,Yes,4,3,6,Manager,1,18824,Yes,5,23,10,0,13
54,No,9,3,6,Manager,5,16032,No,2,14,10,0,13
49,No,4,0,3,Manager,3,15971,No,1,3,0,0,2
31,No,15,3,6,Manager,1,17444,No,3,12,9,5,0
42,Yes,17,3,1,Healthcare Representative,5,7976,No,5,10,7,1,3
29,Yes,24,3,4,Healthcare Representative,0,8722,No,0,8,5,0,7
30,No,27,4,1,Sales Executive,1,4115,No,3,4,4,0,4
24,No,0,5,1,Research Scientist,2,1221,No,5,1,0,0,3
22,No,7,2,3,Research Scientist,2,4401,No,4,5,1,1,5
36,No,8,3,1,Sales Executive,2,7588,No,3,9,6,1,7
49,No,6,0,6,Research Director,1,18740,Yes,4,28,4,13,7
58,No,8,6,3,Manufacturing Director,3,7262,No,0,5,2,0,2
37,No,3,1,2,Manufacturing Director,2,7493,No,6,7,7,2,2
27,No,27,3,3,Research Scientist,0,3783,No,0,4,2,2,2
41,No,0,4,2,Research Scientist,2,2808,No,5,2,1,0,2
39,No,0,4,5,Sales Executive,3,7350,No,4,0,0,1,0
53,No,4,6,6,Healthcare Representative,3,13734,No,4,5,6,2,0
33,No,3,6,4,Sales Executive,4,5147,No,2,11,5,0,7
26,No,5,3,3,Sales Executive,2,5001,No,2,2,2,0,4
43,Yes,0,3,0,Research Scientist,1,2341,Yes,2,6,5,2,1
35,No,21,6,1,Healthcare Representative,6,4014,Yes,0,8,7,2,8
31,No,0,3,1,Research Scientist,0,6220,No,5,9,6,1,10
44,No,5,0,0,Manufacturing Director,3,6435,No,3,4,2,1,4
38,No,10,3,1,Human Resources,4,6077,No,4,4,1,1,1
41,No,3,1,2,Research Scientist,3,2127,Yes,2,4,0,0,3
48,No,6,3,2,Research Scientist,3,4613,Yes,1,17,12,1,7
20,No,10,2,0,Sales Representative,3,2609,No,1,1,3,2,4
36,No,21,2,4,Manager,0,11996,No,4,5,5,6,0
42,No,9,2,3,Manager,0,16801,No,4,19,7,2,8
38,No,10,3,0,Human Resources,1,2340,No,2,3,6,1,2
35,No,8,2,0,Sales Executive,3,7103,No,3,7,1,0,1
53,No,0,5,2,Research Director,4,17329,No,2,21,7,13,9
36,No,12,2,1,Healthcare Representative,3,6586,Yes,3,18,7,2,11
44,No,25,1,3,Manufacturing Director,4,5905,No,4,8,7,2,9
52,No,3,4,2,Manufacturing Director,5,10503,No,2,5,6,1,4
37,No,24,3,5,Human Resources,4,8835,Yes,1,9,0,0,8
44,No,12,4,0,Laboratory Technician,5,2455,No,5,6,5,0,5
36,No,10,2,0,Sales Representative,5,2222,Yes,1,1,0,0,0
32,No,23,1,0,Sales Executive,0,6146,No,4,8,9,1,7
35,No,3,0,1,Sales Executive,1,9279,Yes,2,3,3,0,0
34,No,2,0,2,Research Scientist,4,4931,Yes,4,3,2,3,2
34,Yes,11,6,2,Sales Executive,5,4582,Yes,6,9,10,8,8
45,No,1,1,5,Healthcare Representative,6,7880,Yes,4,10,6,6,5
56,No,3,3,1,Research Director,4,13551,No,0,4,3,0,5
37,No,7,4,0,Laboratory Technician,4,6782,No,1,5,2,2,2
23,No,14,0,1,Sales Representative,5,2095,No,2,8,4,2,6
27,No,3,2,2,Laboratory Technician,3,2867,No,3,6,9,5,8
41,Yes,17,4,1,Research Scientist,4,2437,Yes,2,1,0,2,0
51,No,20,3,0,Manufacturing Director,3,6565,No,1,13,12,7,9
18,Yes,4,5,1,Sales Representative,5,2046,No,4,1,0,2,2
41,No,0,4,3,Manufacturing Director,3,6063,Yes,4,5,3,0,1
26,No,18,2,1,Research Scientist,2,3057,Yes,2,7,4,2,2
46,No,4,0,2,Manager,4,17467,No,5,10,11,6,10
56,No,18,5,0,Manufacturing Director,0,5484,Yes,4,4,2,2,6
39,No,4,4,5,Healthcare Representative,4,10937,No,2,19,4,13,6
23,No,11,2,1,Manufacturing Director,4,4010,No,1,5,1,0,1
41,No,9,0,0,Sales Executive,4,6851,No,4,3,0,0,1
34,No,2,3,2,Sales Executive,0,4760,No,2,14,8,5,10
48,No,3,5,1,Manufacturing Director,6,7381,No,4,8,1,0,2
40,No,3,2,0,Human Resources,5,2844,No,4,9,6,7,0
49,No,4,4,3,Sales Executive,4,4537,Yes,3,8,6,6,9
27,No,11,4,2,Laboratory Technician,4,3985,No,1,4,0,0,0
29,No,7,2,3,Human Resources,3,6348,Yes,1,9,7,4,5
52,No,23,1,6,Manager,4,17424,No,2,10,6,4,6
27,No,9,5,2,Healthcare Representative,1,6811,No,2,8,5,2,8
61,No,24,2,4,Sales Executive,2,7638,No,4,20,16,6,10
44,No,2,1,4,Manager,3,18947,No,2,2,0,3,0
34,No,0,4,3,Laboratory Technician,2,2174,No,1,6,4,0,2
54,No,2,1,2,Research Scientist,1,2065,No,4,1,2,2,2
48,No,2,6,0,Laboratory Technician,0,2561,No,2,0,1,1,2
42,No,14,5,6,Manager,2,16065,Yes,5,17,12,2,10
55,No,5,2,7,Manager,4,18607,No,1,9,6,5,5
37,No,17,0,3,Healthcare Representative,4,5811,Yes,2,0,0,0,2
27,No,24,6,0,Research Scientist,2,2201,No,1,5,2,2,3
38,No,3,3,0,Sales Executive,5,6861,Yes,5,0,1,1,2
35,No,1,6,2,Research Scientist,5,2114,No,4,15,10,4,8
29,Yes,16,1,3,Laboratory Technician,6,2367,No,3,6,0,0,5
48,No,10,3,3,Manager,2,19333,Yes,4,1,0,0,0
27,No,8,0,2,Human Resources,4,4938,No,3,4,0,1,2
31,No,6,2,2,Manufacturing Director,2,4305,No,2,14,8,1,14
28,No,0,0,1,Laboratory Technician,2,3957,No,5,6,3,2,3
37,Yes,11,3,0,Research Scientist,2,3387,Yes,0,0,0,0,1
22,Yes,7,3,0,Laboratory Technician,3,2924,Yes,1,3,2,2,1
35,Yes,14,0,3,Manager,4,13609,Yes,5,5,8,5,9
29,Yes,23,0,2,Healthcare Representative,0,8721,No,4,8,9,0,7
40,No,4,4,5,Manager,4,16017,No,4,24,10,1,3
31,No,2,3,2,Research Scientist,0,4085,No,3,4,7,1,1
34,No,0,2,2,Sales Representative,0,2827,No,2,1,0,2,0
31,No,0,5,2,Laboratory Technician,2,2178,No,3,7,3,0,4
45,Yes,9,1,4,Sales Executive,4,5345,No,0,5,5,0,3
51,No,3,5,3,Manager,5,14851,No,4,17,12,14,4
25,Yes,6,5,0,Laboratory Technician,2,3990,Yes,5,3,4,0,1
37,No,0,6,3,Research Scientist,6,4736,No,6,15,11,3,11
30,Yes,19,4,1,Research Scientist,6,2388,Yes,2,5,5,0,1
39,No,8,4,0,Research Scientist,2,3937,No,3,8,5,7,9
33,Yes,1,5,0,Sales Representative,1,2303,Yes,4,4,0,4,4
47,No,8,3,3,Laboratory Technician,3,2106,No,3,4,0,0,0
30,No,3,2,0,Laboratory Technician,3,2332,No,2,4,0,1,3
35,Yes,5,5,1,Sales Executive,3,9583,Yes,5,7,9,6,8
23,No,0,4,2,Research Scientist,3,3374,No,2,5,3,0,2
36,No,7,1,4,Manufacturing Director,4,8846,Yes,3,3,4,0,0
26,No,2,2,3,Laboratory Technician,2,3977,Yes,1,4,2,0,4
47,No,4,3,5,Sales Executive,2,13225,No,4,21,17,2,10
27,No,8,2,1,Healthcare Representative,2,9715,No,3,9,5,0,6
35,No,0,0,4,Research Director,5,13456,Yes,4,13,14,8,12
32,No,20,4,1,Sales Executive,3,6148,No,5,9,8,1,7
27,Yes,29,3,2,Sales Executive,5,7638,No,0,10,5,0,10
52,No,4,4,3,Manager,1,14851,No,5,19,12,17,1
33,No,6,4,2,Manufacturing Director,4,7141,Yes,1,11,11,2,12
42,Yes,2,4,2,Laboratory Technician,6,2777,Yes,3,8,5,0,0
47,Yes,7,5,6,Sales Executive,3,12938,No,2,23,4,13,10
47,No,8,2,2,Laboratory Technician,1,2107,No,1,1,3,0,0
44,No,3,2,4,Manufacturing Director,6,5769,No,2,8,5,1,8
38,No,7,0,0,Laboratory Technician,5,3037,No,2,3,0,0,0
28,No,16,2,2,Laboratory Technician,1,4556,No,5,10,1,0,7
52,No,25,4,5,Manager,6,17327,Yes,2,6,2,4,3
21,Yes,1,1,0,Sales Representative,2,2173,Yes,3,3,1,0,0
27,No,28,4,2,Research Scientist,6,2512,No,3,5,5,1,7
33,No,3,3,2,Laboratory Technician,0,4424,No,1,6,1,3,3
33,No,2,4,0,Research Scientist,1,4380,No,1,4,7,1,5
40,No,4,4,3,Laboratory Technician,4,5229,Yes,3,3,3,0,5
47,No,7,6,0,Research Scientist,4,3696,No,2,10,7,9,9
33,Yes,1,2,2,Laboratory Technician,1,1394,No,4,0,1,0,2
26,Yes,5,2,0,Research Scientist,0,3104,No,5,7,4,2,3
32,Yes,7,3,1,Research Scientist,1,1262,No,5,1,0,0,2
37,No,4,2,2,Research Scientist,5,2544,No,1,3,0,1,4
28,No,7,2,2,Research Scientist,5,3517,No,5,4,2,0,1
47,No,0,5,0,Sales Representative,2,3295,Yes,3,1,4,1,3
45,No,1,5,5,Manager,4,16874,Yes,3,9,7,7,5
24,No,1,3,0,Laboratory Technician,6,4422,No,5,8,6,0,6
31,No,11,5,4,Sales Executive,6,6581,Yes,4,3,1,1,3
43,No,6,1,4,Manager,3,19232,No,3,23,18,12,16
47,No,10,3,3,Research Scientist,3,2655,No,2,4,0,2,3
53,No,12,3,2,Manufacturing Director,0,4442,Yes,1,7,2,2,3
31,No,4,5,1,Laboratory Technician,3,3180,No,4,5,1,0,3
31,No,3,1,0,Laboratory Technician,1,2007,No,1,0,0,0,0
31,No,10,5,3,Sales Executive,3,4669,No,4,7,5,0,8
43,No,6,0,4,Research Director,3,19975,No,3,21,16,5,12
28,No,18,2,4,Manager,1,11915,Yes,3,9,0,0,6
35,No,6,1,1,Manufacturing Director,2,10220,No,6,6,7,0,7
27,Yes,29,2,3,Sales Executive,0,4969,No,4,1,2,2,3
35,No,11,5,0,Laboratory Technician,0,3453,No,5,3,4,1,2
29,No,24,4,1,Manufacturing Director,4,5237,No,3,5,6,0,3
35,No,26,0,3,Healthcare Representative,1,5348,No,3,2,3,0,1
37,Yes,1,1,2,Laboratory Technician,0,2073,Yes,1,3,0,1,0
33,No,0,3,0,Research Scientist,0,2956,No,1,1,2,0,0
23,No,27,1,0,Laboratory Technician,0,3908,No,4,4,4,2,3
48,No,20,1,2,Research Director,1,16412,No,5,5,0,0,1
22,No,20,2,0,Laboratory Technician,1,2295,No,1,3,0,0,2
26,No,0,0,0,Laboratory Technician,3,4363,No,5,1,4,2,0
29,No,21,2,0,Laboratory Technician,0,4068,No,3,7,8,0,7
36,No,11,3,3,Research Director,2,13207,No,3,17,18,2,13
38,No,4,2,4,Sales Executive,5,7882,No,3,9,7,0,5
26,No,2,4,0,Research Scientist,2,2225,No,2,5,1,3,2
27,No,0,1,1,Research Scientist,3,3760,No,1,3,4,0,1
35,No,0,0,0,Healthcare Representative,6,6949,No,3,3,0,2,6
51,No,3,0,6,Manager,4,18713,No,3,0,1,2,2
34,No,12,5,5,Healthcare Representative,2,9885,Yes,3,2,0,4,5
54,No,3,2,3,Research Scientist,0,2066,No,3,2,2,0,1
32,No,6,4,0,Research Scientist,1,5878,No,3,5,3,1,4
26,Yes,2,3,2,Research Scientist,0,2040,Yes,5,3,1,3,4
32,Yes,8,0,2,Human Resources,4,2741,No,1,1,4,3,2
17,Yes,6,1,3,Laboratory Technician,1,1906,No,3,0,2,2,0
50,No,14,4,0,Research Scientist,0,2366,No,1,9,0,6,6
39,No,3,5,0,Sales Executive,3,4102,No,1,9,5,0,7
22,Yes,10,2,0,Sales Representative,3,2323,Yes,4,4,3,1,4
37,No,22,0,0,Sales Executive,5,5734,No,3,1,1,3,2
35,No,29,4,0,Research Scientist,0,2559,No,2,4,5,3,3
22,No,28,3,0,Laboratory Technician,3,3905,No,5,7,0,3,4
37,No,2,2,4,Sales Executive,3,6654,No,1,3,2,2,0
23,No,27,5,3,Research Scientist,3,2905,No,4,4,4,1,4
49,No,30,3,2,Manager,4,12504,No,3,0,2,0,0
51,No,7,0,3,Healthcare Representative,3,6650,No,4,5,3,3,2
37,No,27,6,1,Manufacturing Director,0,10904,No,2,12,12,3,10
36,Yes,19,6,1,Sales Executive,5,4615,Yes,2,4,0,3,4
36,No,4,3,4,Healthcare Representative,5,5162,No,3,3,2,1,0
38,No,11,5,3,Research Scientist,3,4682,No,4,0,0,1,1
37,Yes,0,1,2,Sales Executive,5,10609,No,0,16,3,12,7
26,No,3,4,3,Healthcare Representative,0,4002,No,5,8,4,1,6
27,Yes,18,0,0,Laboratory Technician,4,2374,Yes,2,3,3,0,4
47,No,2,1,6,Manager,1,17050,No,1,28,17,17,11
33,No,2,2,1,Sales Executive,4,4077,Yes,2,1,0,2,0
29,No,22,0,1,Manufacturing Director,3,9978,No,5,11,7,8,6
27,Yes,7,0,1,Sales Representative,4,2761,No,1,4,0,1,3
38,No,13,4,3,Human Resources,0,2143,No,5,4,0,0,2
34,No,19,2,2,Laboratory Technician,4,2154,No,5,7,0,2,8
38,No,10,3,1,Laboratory Technician,0,3454,No,5,5,2,1,1
38,No,11,3,1,Manufacturing Director,0,5376,No,3,7,7,8,8
31,Yes,3,6,0,Research Scientist,1,2656,Yes,5,7,4,1,4
27,No,6,3,0,Healthcare Representative,2,6809,No,1,6,4,0,9
40,No,6,4,3,Manager,2,18305,No,2,0,2,2,2
34,No,10,4,2,Manager,2,11244,No,2,7,0,1,0
34,No,16,2,1,Research Scientist,1,2757,No,3,6,8,0,4
38,No,0,4,0,Laboratory Technician,4,6474,Yes,1,7,8,3,8
37,Yes,31,2,2,Healthcare Representative,0,6675,Yes,1,3,0,1,0
25,No,4,2,3,Sales Executive,3,4196,Yes,5,6,2,2,3
27,No,30,2,0,Sales Executive,4,4305,No,2,0,0,0,1
40,No,9,2,2,Human Resources,4,6078,No,1,4,2,3,3
24,No,3,3,1,Manufacturing Director,2,4774,No,2,3,3,3,3
36,No,18,4,4,Healthcare Representative,5,8823,No,1,20,10,3,11
44,No,7,4,2,Manufacturing Director,4,10847,No,5,10,9,0,6
53,No,1,1,5,Manager,6,16658,Yes,2,5,4,2,2
44,No,28,5,0,Research Scientist,4,2131,No,3,4,5,0,2
30,No,13,1,4,Sales Executive,5,4403,No,0,3,0,2,4
30,No,18,5,3,Laboratory Technician,1,3198,No,4,8,6,1,1
42,No,0,2,4,Sales Executive,3,8393,No,5,8,7,0,8
29,No,3,1,4,Manufacturing Director,2,9934,No,2,11,6,0,5
35,No,8,2,3,Sales Executive,0,4375,No,4,5,4,0,1
49,No,0,0,3,Manager,5,16884,No,2,6,2,3,0
49,No,7,3,3,Research Director,1,18740,Yes,4,28,4,14,9
49,Yes,7,3,4,Sales Executive,4,6797,Yes,1,4,4,0,3
43,No,12,5,0,Research Scientist,3,2937,No,4,7,3,2,3
35,No,8,3,2,Laboratory Technician,3,2271,No,4,0,2,2,2
40,No,1,4,0,Sales Representative,6,5404,Yes,2,6,2,1,1
41,No,23,2,0,Sales Executive,5,5736,No,2,3,0,0,3
38,No,17,3,1,Sales Executive,2,5405,No,1,14,10,10,11
37,No,7,0,3,Laboratory Technician,2,5562,Yes,1,1,1,0,3
43,No,2,2,0,Sales Executive,0,5154,No,2,7,3,1,5
24,No,15,5,0,Sales Representative,2,2032,No,2,1,0,2,0
47,No,1,3,3,Manager,4,16607,No,5,14,12,5,0
45,No,5,0,5,Research Director,4,19047,Yes,1,23,9,0,10
38,No,0,4,0,Human Resources,1,2844,No,2,9,5,7,0
41,No,24,1,4,Research Director,0,13192,Yes,4,3,0,0,0
55,No,11,2,2,Manufacturing Director,0,4450,No,1,5,3,0,5
32,No,7,2,5,Healthcare Representative,5,8501,No,1,7,8,0,7
33,No,17,2,4,Sales Executive,3,5561,No,3,6,4,0,6
25,No,23,2,0,Research Scientist,3,2727,Yes,2,4,6,1,6
53,No,3,0,6,Research Director,0,19408,No,1,2,3,3,4
30,Yes,0,2,2,Laboratory Technician,2,2594,No,1,0,0,0,1
42,Yes,1,3,4,Human Resources,2,10484,No,1,22,5,4,6
25,No,8,4,4,Sales Executive,5,4258,Yes,5,7,0,2,2
49,No,29,0,2,Manager,5,17048,No,2,26,8,16,8
26,No,5,1,3,Laboratory Technician,1,3579,No,1,6,5,0,6
38,No,8,0,2,Sales Executive,2,5603,Yes,5,7,0,5,8
21,Yes,8,5,0,Sales Representative,2,2275,Yes,2,1,1,0,2
37,No,21,1,0,Research Scientist,0,3024,No,1,0,0,2,0
31,No,19,2,2,Manager,5,17445,No,2,12,10,6,2
39,No,5,2,0,Research Scientist,2,2996,Yes,1,4,4,1,5
36,No,11,2,0,Research Scientist,4,4284,No,5,8,10,5,8
29,No,7,1,3,Sales Executive,3,6928,No,3,7,7,8,6
42,Yes,23,5,1,Sales Executive,0,9096,Yes,4,5,3,3,0
42,No,29,0,2,Manufacturing Director,4,13572,No,4,22,7,0,11
29,No,19,6,4,Sales Executive,4,6931,No,1,4,1,0,3
35,No,1,2,1,Research Scientist,0,2194,No,2,2,3,3,2
37,No,2,5,1,Sales Executive,1,7296,No,4,12,8,2,4
32,No,1,5,2,Research Scientist,1,2958,No,4,1,0,0,2
38,No,0,0,3,Laboratory Technician,2,2385,No,5,4,3,0,2
19,No,5,3,0,Research Scientist,5,1049,No,5,2,0,0,0
41,No,8,5,0,Laboratory Technician,1,2236,No,4,6,0,0,3
